Date,S&P500,NASDAQ,DOWJONES,NIKKEI,HANGSENG,USDINR,USDJPY,USDCNY,INDIAVIX,VIX,CRUDE,GOLD,SILVER,NATGAS,COPPER,WHEAT,UST10Y,DOLLARINDEX
,^GSPC,^IXIC,^DJI,^N225,^HSI,INR=X,JPY=X,CNY=X,^INDIAVIX,^VIX,BZ=F,GC=F,SI=F,NG=F,HG=F,ZW=F,^TNX,DX-Y.NYB
2021-05-11,4152.10009765625,13389.4296875,34269.16015625,28608.58984375,28013.810546875,73.5,108.84400177001953,6.41510009765625,,21.84000015258789,68.55000305175781,1835.9000244140625,27.656999588012695,2.9549999237060547,4.778500080108643,759.75,1.6239999532699585,90.13999938964844
2021-05-12,4063.0400390625,13031.6796875,33587.66015625,28147.509765625,28231.0390625,73.3750991821289,108.71499633789062,6.428299903869629,20.079999923706055,27.59000015258789,69.31999969482422,1822.5999755859375,27.231000900268555,2.9690001010894775,4.752500057220459,754.75,1.6950000524520874,90.70999908447266
2021-05-13,4112.5,13124.990234375,34021.44921875,27448.009765625,27718.669921875,73.68160247802734,109.66400146484375,6.4552001953125,,23.1299991607666,67.05000305175781,1823.800048828125,27.04400062561035,2.9730000495910645,4.70550012588501,726.5,1.6679999828338623,90.75
2021-05-14,4173.85009765625,13429.98046875,34382.12890625,28084.470703125,28027.5703125,73.44490051269531,109.51599884033203,6.450900077819824,20.270000457763672,18.809999465942383,68.70999908447266,1837.9000244140625,27.35300064086914,2.9609999656677246,4.664000034332275,727.25,1.6349999904632568,90.31999969482422
2021-05-17,4163.2900390625,13379.0498046875,34327.7890625,27824.830078125,28194.08984375,73.27890014648438,109.41200256347656,6.436100006103516,19.610000610351562,19.719999313354492,69.45999908447266,1867.5,28.260000228881836,3.1089999675750732,4.721499919891357,699.75,1.6399999856948853,90.22000122070312
2021-05-18,4127.830078125,13303.6396484375,34060.66015625,28406.83984375,28593.810546875,73.26969909667969,109.24199676513672,6.438199996948242,19.239999771118164,21.34000015258789,68.70999908447266,1867.800048828125,28.31399917602539,3.01200008392334,4.735499858856201,698.0,1.6419999599456787,89.75
2021-05-19,4115.68017578125,13299.740234375,33896.0390625,28044.44921875,,73.1281967163086,108.86799621582031,6.424200057983398,19.31999969482422,22.18000030517578,66.66000366210938,1881.300048828125,28.007999420166016,2.9639999866485596,4.5894999504089355,679.25,1.6829999685287476,90.19000244140625
2021-05-20,4159.1201171875,13535.740234375,34084.1484375,28098.25,28450.2890625,73.222900390625,109.27300262451172,6.434000015258789,,20.670000076293945,65.11000061035156,1881.800048828125,28.052000045776367,2.924999952316284,4.581999778747559,675.25,1.6339999437332153,89.80999755859375
2021-05-21,4155.85986328125,13470.990234375,34207.83984375,28317.830078125,28458.439453125,73.02189636230469,108.86000061035156,6.433899879455566,19.079999923706055,20.149999618530273,66.44000244140625,1876.699951171875,27.472999572753906,2.9059998989105225,4.495999813079834,674.25,1.6319999694824219,90.0199966430664
2021-05-24,4197.0498046875,13661.169921875,34393.98046875,28364.609375,28412.259765625,72.90979766845703,108.91899871826172,6.433199882507324,19.1299991607666,18.399999618530273,68.45999908447266,1884.5999755859375,27.886999130249023,2.885999917984009,4.541500091552734,662.25,1.6080000400543213,89.83000183105469
